,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,with_wifi,with_air_conditioning,with_cable_tv,pets_allowed
4946,25547908,187334221,within an hour,100.0,0.0,5.0,5.0,1.0,0.0,Outer Sunset,37.76331,-122.50451000000001,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,79.0,0.0,50.0,1,0.0,1,14,1,1,14,14,1.0,14.0,6 months ago,8,25,51,141,1.0,1.0,flexible,0.0,0.0,4,0,4,0,6.82,1.0,0.0,0.0,0.0
4947,25554933,1137986,within an hour,100.0,1.0,10.0,10.0,1.0,1.0,Nob Hill,37.795359999999995,-122.41153,1.0,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,80.0,,,1,0.0,30,1125,30,30,1125,1125,30.0,1125.0,2 months ago,0,0,22,112,1.0,0.0,strict_14_with_grace_period,0.0,0.0,3,0,3,0,0.09,1.0,0.0,0.0,0.0
4948,25583745,141944806,within an hour,100.0,0.0,4.0,4.0,1.0,0.0,Nob Hill,37.79143,-122.42062,1.0,Apartment,Shared room,2,5.0,1.0,2.0,Real Bed,44.0,500.0,100.0,1,42.0,30,180,30,30,180,180,30.0,180.0,3 days ago,30,60,90,365,1.0,0.0,flexible,0.0,0.0,36,0,28,8,,1.0,0.0,1.0,0.0
4949,25584677,4430421,within an hour,100.0,0.0,92.0,92.0,1.0,0.0,Mission,37.75508,-122.41046000000001,1.0,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,92.0,0.0,0.0,1,0.0,30,150,30,30,150,150,30.0,150.0,2 weeks ago,0,13,43,133,1.0,1.0,flexible,0.0,0.0,102,101,1,0,0.42,1.0,0.0,0.0,0.0
4950,25592607,191314376,within an hour,100.0,1.0,5.0,5.0,1.0,0.0,Outer Sunset,37.76491,-122.48064,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,73.0,200.0,60.0,1,0.0,1,7,1,1,7,7,1.0,7.0,today,4,22,42,132,1.0,0.0,strict_14_with_grace_period,0.0,0.0,5,0,5,0,1.48,1.0,0.0,0.0,0.0
4951,25621756,10624702,within an hour,100.0,1.0,2.0,2.0,1.0,0.0,South of Market,37.77879,-122.40268,1.0,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,599.0,500.0,105.0,2,20.0,2,28,2,5,28,28,2.1,28.0,today,13,43,73,73,1.0,0.0,moderate,0.0,0.0,2,1,1,0,0.57,1.0,0.0,0.0,0.0
4952,25634749,187334221,within an hour,100.0,0.0,5.0,5.0,1.0,0.0,Outer Sunset,37.76356,-122.50509,1.0,House,Private room,2,1.0,1.0,1.0,Real Bed,72.0,0.0,50.0,1,0.0,1,10,1,1,10,10,1.0,10.0,6 months ago,11,26,49,139,1.0,1.0,moderate,0.0,0.0,4,0,4,0,6.95,1.0,0.0,0.0,0.0
4953,25679734,13268352,within an hour,100.0,1.0,2.0,2.0,1.0,0.0,South of Market,37.7767,-122.41628999999999,0.0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,170.0,,30.0,1,0.0,1,1125,1,1,1125,1125,1.0,1125.0,1 week ago,8,8,8,8,1.0,0.0,strict_14_with_grace_period,0.0,0.0,2,1,1,0,3.45,1.0,0.0,0.0,0.0
4954,25679846,6460979,within an hour,88.0,1.0,6.0,6.0,1.0,1.0,Western Addition,37.78075,-122.43943,1.0,House,Private room,4,1.0,1.0,3.0,Real Bed,249.0,0.0,75.0,1,0.0,1,29,1,1,29,29,1.0,29.0,5 days ago,24,34,34,34,1.0,1.0,strict_14_with_grace_period,0.0,0.0,5,2,3,0,4.44,1.0,0.0,0.0,0.0
4955,25724703,37165726,,,0.0,1.0,1.0,1.0,1.0,Castro/Upper Market,37.76637,-122.43191999999999,1.0,Condominium,Entire home/apt,6,2.0,4.0,4.0,Real Bed,600.0,500.0,200.0,1,0.0,2,30,2,2,30,30,2.0,30.0,3 months ago,0,3,3,3,1.0,1.0,strict_14_with_grace_period,0.0,0.0,1,1,0,0,0.2,1.0,0.0,0.0,0.0
